tile	nucleus	intensity
16	35	792067
16	36	553313
16	37	2004614
16	38	1538163
16	39	7244011
16	40	4065160
16	41	318527
16	42	5585653
16	43	744594
16	44	5638566
16	45	5419744
16	46	5678813
16	47	4430211
16	48	1111697
16	49	1466080
16	50	1697707
16	51	1023747
16	52	764631
16	53	3821664
16	54	5088934
16	55	9722752
16	56	5296594
16	57	2644194
16	58	332658
16	59	11174766
16	60	5693227
16	61	4638213
16	62	922213
16	63	127706
16	64	563008
16	65	4380841
16	66	2303177
16	67	2460537
16	68	527530
16	69	2511101
16	70	2942850
16	71	8268742
16	72	2867004
16	73	3364331
16	74	1395922
16	75	2374766
16	76	5268506
16	77	2176325
16	78	1455339
16	79	1876299
16	80	2578388
16	81	655734
16	82	1905003
16	83	4673167
16	84	1130007
16	85	4184867
16	86	1625854
16	87	1651004
16	88	924919
16	89	4482021
16	90	481838
16	91	1580959
16	92	575485
16	93	937967
16	94	859270
16	95	73492
17	1	759540
17	2	2433216
17	3	7131403
17	4	2162955
17	5	2438583
17	6	1069430
17	7	1257881
17	8	1657430
17	9	2644297
17	10	1221129
17	11	2474712
17	12	465777
17	13	799878
17	14	2630238
17	15	2234791
17	16	1927980
17	17	1751595
17	18	576616
17	19	1581391
17	20	253751
17	21	286999
18	1	944794
18	2	1388547
18	3	4094986
18	4	2484982
18	5	6222164
18	6	2674173
18	7	2972188
18	8	168339
19	1	2404078
19	2	1632118
19	3	2611135
19	4	2647027
19	5	484852
19	6	742048
19	7	599754
19	8	583437
20	1	36411
20	2	64419
20	3	45917
20	4	47969
20	5	25159
20	6	30426
20	7	24377
20	8	35437
20	9	38628
20	10	23350
20	11	29407
20	12	70005
20	13	27802
20	14	39432
20	15	22831
20	16	36949
20	17	31918
20	18	87040
20	19	41607
20	20	24615
20	21	44843
20	22	70836
20	23	55253
20	24	26911
20	25	50257
20	26	31636
20	27	23511
20	28	34825
20	29	60244
20	30	31388
20	31	39514
20	32	89085
20	33	35921
20	34	37932
20	35	157709
20	36	37109
20	37	39111
20	38	28724
20	39	58659
20	40	27822
20	41	25186
20	42	25109
20	43	35719
20	44	26294
20	45	97183
20	46	40940
20	47	101144
20	48	68533
20	49	104249
20	50	50328
20	51	29000
20	52	22936
20	53	29270
20	54	51819
20	55	25134
20	56	26713
